transaction_id|transaction_date|transaction_time|transaction_qty|store_id|store_location|product_id|unit_price|product_category|product_type|product_detail
3481|2023-01-07|09:44:57|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
3866|2023-01-08|07:30:17|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
3971|2023-01-08|09:13:06|2|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
4329|2023-01-08|17:48:46|1|3|Astoria|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
4573|2023-01-09|08:57:44|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
5393|2023-01-10|12:45:47|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
6999|2023-01-13|10:31:40|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
7556|2023-01-14|10:02:07|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
7917|2023-01-15|07:27:34|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
8376|2023-01-15|14:34:34|1|3|Astoria|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
8538|2023-01-16|06:47:40|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
10770|2023-01-19|15:18:36|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
11305|2023-01-20|15:01:52|1|3|Astoria|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
11466|2023-01-21|07:08:18|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
14401|2023-01-26|07:53:09|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
15180|2023-01-27|10:57:37|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
16608|2023-01-30|10:12:04|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
17095|2023-01-31|10:01:12|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
17122|2023-01-31|10:31:40|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
20867|2023-02-07|09:44:57|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
21254|2023-02-08|07:30:17|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
21439|2023-02-08|10:18:15|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
22457|2023-02-10|07:17:46|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
22768|2023-02-10|10:52:37|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
22838|2023-02-10|12:45:47|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
23333|2023-02-11|10:29:56|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
23455|2023-02-11|14:19:59|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
23579|2023-02-11|19:32:46|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
23855|2023-02-12|10:09:33|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
24554|2023-02-13|10:56:57|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
24664|2023-02-13|15:13:00|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
25279|2023-02-14|16:05:51|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
25862|2023-02-15|14:34:34|1|3|Astoria|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
26245|2023-02-16|09:15:11|1|3|Astoria|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
28300|2023-02-19|14:34:34|1|3|Astoria|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
28561|2023-02-20|08:21:01|1|3|Astoria|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
28711|2023-02-20|09:44:30|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
28951|2023-02-20|15:01:52|1|3|Astoria|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
29767|2023-02-22|08:23:42|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
30594|2023-02-23|14:00:07|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
31102|2023-02-24|11:46:58|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
32902|2023-02-27|10:57:37|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
37931|2023-03-07|09:44:57|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
38429|2023-03-08|08:02:50|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
38510|2023-03-08|09:02:19|1|8|Hell's Kitchen|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
38576|2023-03-08|09:40:48|1|5|Lower Manhattan|1|18.00|Coffee beans|Organic Beans|Brazilian - Organic
