product_id|supply_id|supply_amount|supply_amount_price
1|1|1.00|6.00
2|2|1.00|6.00
3|3|1.00|5.00
4|4|1.00|7.00
5|5|1.00|3.00
6|6|1.00|7.00
7|7|1.00|6.50
8|8|1.00|15.00
9|9|1.00|9.50
10|10|1.00|3.50
11|11|1.00|3.00
12|12|1.00|3.00
13|13|1.00|3.00
14|14|1.00|3.00
15|15|1.00|3.00
16|16|1.00|3.00
17|17|1.00|3.00
18|18|1.00|3.50
19|19|1.00|2.00
20|20|1.00|2.50
21|21|1.00|4.50
22|2|0.10|0.60
22|84|1.00|0.05
23|2|0.14|0.84
23|85|1.00|0.05
24|2|0.17|1.02
24|86|1.00|0.05
25|1|0.12|0.72
25|84|1.00|0.05
26|1|0.17|1.02
26|85|1.00|0.05
27|1|0.20|1.20
27|86|1.00|0.05
28|5|0.20|0.60
28|84|1.00|0.05
29|5|0.28|0.84
29|85|1.00|0.05
30|5|0.33|1.00
30|86|1.00|0.05
31|6|0.10|0.70
31|84|1.00|0.05
32|6|0.14|0.98
32|85|1.00|0.05
33|6|0.17|1.19
33|86|1.00|0.05
34|7|0.13|0.85
34|84|1.00|0.05
35|7|0.16|1.04
35|85|1.00|0.05
36|7|0.19|1.24
36|86|1.00|0.05
37|3|0.20|1.00
37|84|1.00|0.05
38|4|0.18|1.26
38|84|1.00|0.05
39|4|0.20|1.40
39|85|1.00|0.05
40|3|0.25|1.25
40|85|1.00|0.05
41|3|0.28|1.40
41|86|1.00|0.05
42|11|0.28|0.84
42|85|1.00|0.05
43|11|0.33|1.00
43|86|1.00|0.05
44|12|0.28|0.84
44|85|1.00|0.05
45|12|0.33|1.00
45|86|1.00|0.05
46|13|0.28|0.84
46|85|1.00|0.05
47|13|0.33|1.00
47|86|1.00|0.05
48|14|0.28|0.84
48|85|1.00|0.05
49|14|0.33|1.00
49|86|1.00|0.05
50|15|0.28|0.84
50|85|1.00|0.05
51|15|0.33|1.00
51|86|1.00|0.05
52|16|0.28|0.84
52|85|1.00|0.05
53|16|0.33|1.00
53|86|1.00|0.05
54|17|0.28|0.84
54|85|1.00|0.05
55|17|0.45|1.35
55|86|1.00|0.05
56|18|0.24|0.84
56|85|1.00|0.05
57|18|0.30|1.05
57|86|1.00|0.05
58|19|0.58|1.16
58|85|1.00|0.05
59|19|0.75|1.5
59|86|1.00|0.05
60|20|0.5|1.25
60|85|1.00|0.05
61|20|0.63|1.58
61|86|1.00|0.05
62|21|0.35|1.58
62|85|1.00|0.05
63|21|0.46|2.07
63|86|1.00|0.05
64|64|1.00|0.27
65|65|1.00|0.27
66|66|1.00|0.27
67|67|1.00|0.27
69|69|1.00|1.00
70|70|1.00|1.00
71|71|1.00|1.25
72|72|1.00|1.00
73|73|1.00|1.25
74|74|1.00|1.15
75|75|1.00|1.15
76|76|1.00|1.15
77|77|1.00|1.00
78|78|1.00|1.50
79|79|1.00|1.25
81|81|1.00|9.25
82|82|1.00|4.00
83|83|1.00|4.75
87|4|0.14|0.98
87|84|1.00|0.05
